thickness_um,n_incident,n_capture,n_transmit,capture_eff,transmit_eff,other_eff,attenuation
1,10000,111,9889,0.0111,0.9889,0,0.0111
2,10000,168,9832,0.0168,0.9832,0,0.0168
3,10000,242,9757,0.0242,0.9757,0.0001,0.0243
5,10000,431,9568,0.0431,0.9568,0.0001,0.0432
10,10000,889,9109,0.0889,0.9109,0.0002,0.0891
15,10000,1282,8715,0.1282,0.8715,0.0003,0.1285
20,10000,1699,8296,0.1699,0.8296,0.0005,0.1704
30,10000,2441,7554,0.2441,0.7554,0.0005,0.2446
40,10000,3029,6965,0.3029,0.6965,0.0006,0.3035
50,10000,3672,6314,0.3672,0.6314,0.0014,0.3686
60,10000,4191,5803,0.4191,0.5803,0.0006,0.4197
70,10000,4726,5259,0.4726,0.5259,0.0015,0.4741
80,10000,5125,4867,0.5125,0.4867,0.0008,0.5133
90,10000,5693,4299,0.5693,0.4299,0.0008,0.5701
100,10000,5931,4060,0.5931,0.406,0.0009,0.594
125,10000,6716,3272,0.6716,0.3272,0.0012,0.6728
150,10000,7579,2406,0.7579,0.2406,0.0015,0.7594
175,10000,8028,1957,0.8028,0.1957,0.0015,0.8043
200,10000,8362,1626,0.8362,0.1626,0.0012,0.8374
225,10000,8747,1,0.8747,0.0001,0.1252,0.9999
250,10000,8972,1017,0.8972,0.1017,0.0011,0.8983
275,10000,9177,808,0.9177,0.0808,0.0015,0.9192
300,10000,9328,661,0.9328,0.0661,0.0011,0.9339
325,10000,9488,2,0.9488,0.0002,0.051,0.9998
350,10000,9559,422,0.9559,0.0422,0.0019,0.9578
375,10000,9657,329,0.9657,0.0329,0.0014,0.9671
400,10000,9715,259,0.9715,0.0259,0.0026,0.9741
500,10000,9883,108,0.9883,0.0108,0.0009,0.9892
700,10000,9970,17,0.997,0.0017,0.0013,0.9983
1000,10000,9983,1,0.9983,0.0001,0.0016,0.9999
